model,n_valid,n_errors_excluded,accuracy,macro_f1,weighted_f1,f1_positive,f1_neutral,f1_negative,prec_positive,prec_neutral,prec_negative,recall_positive,recall_neutral,recall_negative,total_errors,neg_skew_count,neg_skew_pct,pos_skew_count,pos_skew_pct
deepseekr1,969,31,54.08,0.5029,0.534,0.5923,0.3073,0.6091,0.6282,0.3427,0.5505,0.5603,0.2785,0.6818,445,196,44.0,132,29.7
gemma3,998,2,63.13,0.5693,0.604,0.6627,0.3427,0.7026,0.8447,0.5914,0.5491,0.5452,0.2412,0.9751,368,289,78.5,41,11.1
llama31_70b,965,35,48.19,0.4658,0.4824,0.4736,0.3378,0.5861,0.6435,0.2937,0.5278,0.3747,0.3973,0.659,500,204,40.8,82,16.4
mistral31,997,3,61.69,0.5797,0.5975,0.5666,0.443,0.7296,0.913,0.45,0.5868,0.4108,0.4361,0.964,382,245,64.1,16,4.2
phi3_medium,998,2,61.52,0.5847,0.6024,0.5901,0.4539,0.71,0.8486,0.4654,0.5826,0.4523,0.443,0.9086,384,235,61.2,33,8.6
phi4,998,2,65.43,0.617,0.6431,0.6657,0.4387,0.7467,0.8667,0.4745,0.6197,0.5403,0.4079,0.9391,345,208,60.3,34,9.9
